Retry_Number,Normalized_MAD_median_mean,Normalized_MAD_median_median,Normalized_MAD_IQR_mean,Normalized_MAD_IQR_median
1,0.2450155460274737,0.17870797319064274,0.27763828239623517,0.2910644776250851
2,0.2142061471763677,0.186017073586405,0.26531764551172615,0.2662243150045271
3,0.17737486083255952,0.16685395624741461,0.2349124482415397,0.2645929327853495
4,0.17958446363896843,0.17010468627147263,0.2393327101568485,0.2584745972488127
5,0.15698486957533422,0.15595940754454152,0.21453962777525676,0.232506285272615
